Theater,TheaterLabel,Sitz,SitzLabel
http://www.wikidata.org/entity/Q122798995,Theatergruppe Kaufering,http://www.wikidata.org/entity/Q339918,Kaufering
http://www.wikidata.org/entity/Q122798996,Theatergruppe Kirchenthumbach,http://www.wikidata.org/entity/Q503393,Kirchenthumbach
http://www.wikidata.org/entity/Q122798997,Theatergruppe Kirchweidach,http://www.wikidata.org/entity/Q701470,Kirchweidach
http://www.wikidata.org/entity/Q122798999,Theatergruppe Klenau-Junkenhofen,http://www.wikidata.org/entity/Q260245,Gerolsbach
http://www.wikidata.org/entity/Q122799001,Theatergruppe Kolping Lechhausen,http://www.wikidata.org/entity/Q2749,Augsburg
http://www.wikidata.org/entity/Q122799003,Theatergruppe Königsbrunn,http://www.wikidata.org/entity/Q524603,Graben
http://www.wikidata.org/entity/Q122799004,Theatergruppe Krün,http://www.wikidata.org/entity/Q509557,Krün
http://www.wikidata.org/entity/Q122799005,Theatergruppe Lampenfieber München,http://www.wikidata.org/entity/Q1726,Munich
http://www.wikidata.org/entity/Q122799006,Theatergruppe Lichtenau,http://www.wikidata.org/entity/Q73212,Weichering
http://www.wikidata.org/entity/Q122799007,theatergruppe lila,http://www.wikidata.org/entity/Q14859,Ansbach
http://www.wikidata.org/entity/Q122799009,Theatergruppe Markt Kraiburg am Inn,http://www.wikidata.org/entity/Q278967,Kraiburg
http://www.wikidata.org/entity/Q122799010,Theatergruppe Michelsneukirchen,http://www.wikidata.org/entity/Q31618,Michelsneukirchen
http://www.wikidata.org/entity/Q122799011,Theatergruppe Moorenweis,http://www.wikidata.org/entity/Q520854,Moorenweis
http://www.wikidata.org/entity/Q122799015,Theatergruppe Münster,http://www.wikidata.org/entity/Q256895,Münster
http://www.wikidata.org/entity/Q122799017,Theatergruppe Musikforum Blutenburg,http://www.wikidata.org/entity/Q1726,Munich
http://www.wikidata.org/entity/Q122799019,Theatergruppe Oberreitnau,http://www.wikidata.org/entity/Q1548325,Oberreitnau
http://www.wikidata.org/entity/Q122799020,Theatergruppe Obing,http://www.wikidata.org/entity/Q254467,Obing
http://www.wikidata.org/entity/Q122799022,Theatergruppe Ottmaring,http://www.wikidata.org/entity/Q507194,Friedberg
http://www.wikidata.org/entity/Q122799024,Theatergruppe Pähl,http://www.wikidata.org/entity/Q529409,Pähl
http://www.wikidata.org/entity/Q122799025,Theatergruppe Priel,http://www.wikidata.org/entity/Q255396,Mauern
